"site","plotid","depth","varname","year","value","subsample","tillage","cover","extended_rot","extended_rot_name","rot_id","sampling_time"
"ARL","101","0 to 10","BD",2011,.,"1","NO","NO","YES","CORN-SOY-WHEAT","ROT7","spring"
"ARL","101","0 to 10","BD",2011,.,"2","NO","NO","YES","CORN-SOY-WHEAT","ROT7","spring"
"ARL","101","0 to 10","BD",2011,.,"3","NO","NO","YES","CORN-SOY-WHEAT","ROT7","spring"
"ARL","101","10 to 20","BD",2011,.,"1","NO","NO","YES","CORN-SOY-WHEAT","ROT7","spring"
"ARL","101","10 to 20","BD",2011,.,"2","NO","NO","YES","CORN-SOY-WHEAT","ROT7","spring"
"ARL","101","10 to 20","BD",2011,.,"3","NO","NO","YES","CORN-SOY-WHEAT","ROT7","spring"
"ARL","101","20 to 40","BD",2011,.,"1","NO","NO","YES","CORN-SOY-WHEAT","ROT7","spring"
"ARL","101","20 to 40","BD",2011,.,"2","NO","NO","YES","CORN-SOY-WHEAT","ROT7","spring"
"ARL","101","20 to 40","BD",2011,.,"3","NO","NO","YES","CORN-SOY-WHEAT","ROT7","spring"
"ARL","101","40 to 60","BD",2011,.,"1","NO","NO","YES","CORN-SOY-WHEAT","ROT7","spring"
"ARL","101","40 to 60","BD",2011,.,"2","NO","NO","YES","CORN-SOY-WHEAT","ROT7","spring"
"ARL","101","40 to 60","BD",2011,.,"3","NO","NO","YES","CORN-SOY-WHEAT","ROT7","spring"
"ARL","101","0 to 10","BD",2013,1.36,"1","NO","NO","YES","CORN-SOY-WHEAT","ROT7","spring"
"ARL","101","0 to 10","BD",2013,1.24,"2","NO","NO","YES","CORN-SOY-WHEAT","ROT7","spring"
"ARL","101","0 to 10","BD",2013,1.27,"3","NO","NO","YES","CORN-SOY-WHEAT","ROT7","spring"
"ARL","101","10 to 20","BD",2013,1.37,"1","NO","NO","YES","CORN-SOY-WHEAT","ROT7","spring"
"ARL","101","10 to 20","BD",2013,1.32,"2","NO","NO","YES","CORN-SOY-WHEAT","ROT7","spring"
"ARL","101","10 to 20","BD",2013,1.37,"3","NO","NO","YES","CORN-SOY-WHEAT","ROT7","spring"
"ARL","101","20 to 40","BD",2013,.,"1","NO","NO","YES","CORN-SOY-WHEAT","ROT7","spring"
"ARL","101","20 to 40","BD",2013,.,"2","NO","NO","YES","CORN-SOY-WHEAT","ROT7","spring"
"ARL","101","20 to 40","BD",2013,.,"3","NO","NO","YES","CORN-SOY-WHEAT","ROT7","spring"
"ARL","101","40 to 60","BD",2013,.,"1","NO","NO","YES","CORN-SOY-WHEAT","ROT7","spring"
"ARL","101","40 to 60","BD",2013,.,"2","NO","NO","YES","CORN-SOY-WHEAT","ROT7","spring"
"ARL","101","40 to 60","BD",2013,.,"3","NO","NO","YES","CORN-SOY-WHEAT","ROT7","spring"
"ARL","101","0 to 10","BD",2015,.,"1","NO","NO","YES","CORN-SOY-WHEAT","ROT7","spring"
"ARL","101","0 to 10","BD",2015,.,"2","NO","NO","YES","CORN-SOY-WHEAT","ROT7","spring"
"ARL","101","0 to 10","BD",2015,.,"3","NO","NO","YES","CORN-SOY-WHEAT","ROT7","spring"
"ARL","101","10 to 20","BD",2015,.,"1","NO","NO","YES","CORN-SOY-WHEAT","ROT7","spring"
"ARL","101","10 to 20","BD",2015,.,"2","NO","NO","YES","CORN-SOY-WHEAT","ROT7","spring"
"ARL","101","10 to 20","BD",2015,.,"3","NO","NO","YES","CORN-SOY-WHEAT","ROT7","spring"
"ARL","101","0 to 10","SOC",2011,.,"1","NO","NO","YES","CORN-SOY-WHEAT","ROT7","spring"
"ARL","101","10 to 20","SOC",2011,.,"1","NO","NO","YES","CORN-SOY-WHEAT","ROT7","spring"
"ARL","101","20 to 40","SOC",2011,.,"1","NO","NO","YES","CORN-SOY-WHEAT","ROT7","spring"
"ARL","101","40 to 60","SOC",2011,.,"1","NO","NO","YES","CORN-SOY-WHEAT","ROT7","spring"
"ARL","101","0 to 10","SOC",2013,1.928860307,"1","NO","NO","YES","CORN-SOY-WHEAT","ROT7","spring"
"ARL","101","10 to 20","SOC",2013,1.838501811,"1","NO","NO","YES","CORN-SOY-WHEAT","ROT7","spring"
"ARL","101","20 to 40","SOC",2013,1.559941888,"1","NO","NO","YES","CORN-SOY-WHEAT","ROT7","spring"
"ARL","101","40 to 60","SOC",2013,0.939626873,"1","NO","NO","YES","CORN-SOY-WHEAT","ROT7","spring"
"ARL","101","0 to 10","SOC",2015,.,"1","NO","NO","YES","CORN-SOY-WHEAT","ROT7","spring"
"ARL","101","10 to 20","SOC",2015,.,"1","NO","NO","YES","CORN-SOY-WHEAT","ROT7","spring"
"ARL","101","20 to 40","SOC",2015,.,"1","NO","NO","YES","CORN-SOY-WHEAT","ROT7","spring"
"ARL","104","0 to 10","BD",2011,1.4,"1","NO","NO","YES","CORN-SOY-WHEAT","ROT6","spring"
"ARL","104","0 to 10","BD",2011,1.47,"2","NO","NO","YES","CORN-SOY-WHEAT","ROT6","spring"
"ARL","104","0 to 10","BD",2011,1.32,"3","NO","NO","YES","CORN-SOY-WHEAT","ROT6","spring"
"ARL","104","10 to 20","BD",2011,1.42,"1","NO","NO","YES","CORN-SOY-WHEAT","ROT6","spring"
"ARL","104","10 to 20","BD",2011,1.5,"2","NO","NO","YES","CORN-SOY-WHEAT","ROT6","spring"
"ARL","104","10 to 20","BD",2011,1.46,"3","NO","NO","YES","CORN-SOY-WHEAT","ROT6","spring"
"ARL","104","20 to 40","BD",2011,1.47,"1","NO","NO","YES","CORN-SOY-WHEAT","ROT6","spring"
"ARL","104","20 to 40","BD",2011,1.4,"2","NO","NO","YES","CORN-SOY-WHEAT","ROT6","spring"
"ARL","104","20 to 40","BD",2011,1.43,"3","NO","NO","YES","CORN-SOY-WHEAT","ROT6","spring"
"ARL","104","40 to 60","BD",2011,1.45,"1","NO","NO","YES","CORN-SOY-WHEAT","ROT6","spring"
"ARL","104","40 to 60","BD",2011,1.43,"2","NO","NO","YES","CORN-SOY-WHEAT","ROT6","spring"
"ARL","104","40 to 60","BD",2011,1.41,"3","NO","NO","YES","CORN-SOY-WHEAT","ROT6","spring"
"ARL","104","0 to 10","BD",2013,.,"1","NO","NO","YES","CORN-SOY-WHEAT","ROT6","spring"
"ARL","104","0 to 10","BD",2013,.,"2","NO","NO","YES","CORN-SOY-WHEAT","ROT6","spring"
"ARL","104","0 to 10","BD",2013,.,"3","NO","NO","YES","CORN-SOY-WHEAT","ROT6","spring"
"ARL","104","10 to 20","BD",2013,.,"1","NO","NO","YES","CORN-SOY-WHEAT","ROT6","spring"
"ARL","104","10 to 20","BD",2013,.,"2","NO","NO","YES","CORN-SOY-WHEAT","ROT6","spring"
"ARL","104","10 to 20","BD",2013,.,"3","NO","NO","YES","CORN-SOY-WHEAT","ROT6","spring"
"ARL","104","20 to 40","BD",2013,.,"1","NO","NO","YES","CORN-SOY-WHEAT","ROT6","spring"
"ARL","104","20 to 40","BD",2013,.,"2","NO","NO","YES","CORN-SOY-WHEAT","ROT6","spring"
"ARL","104","20 to 40","BD",2013,.,"3","NO","NO","YES","CORN-SOY-WHEAT","ROT6","spring"
"ARL","104","40 to 60","BD",2013,.,"1","NO","NO","YES","CORN-SOY-WHEAT","ROT6","spring"
"ARL","104","40 to 60","BD",2013,.,"2","NO","NO","YES","CORN-SOY-WHEAT","ROT6","spring"
"ARL","104","40 to 60","BD",2013,.,"3","NO","NO","YES","CORN-SOY-WHEAT","ROT6","spring"
"ARL","104","0 to 10","BD",2015,.,"1","NO","NO","YES","CORN-SOY-WHEAT","ROT6","spring"
"ARL","104","0 to 10","BD",2015,.,"2","NO","NO","YES","CORN-SOY-WHEAT","ROT6","spring"
"ARL","104","0 to 10","BD",2015,.,"3","NO","NO","YES","CORN-SOY-WHEAT","ROT6","spring"
"ARL","104","10 to 20","BD",2015,.,"1","NO","NO","YES","CORN-SOY-WHEAT","ROT6","spring"
"ARL","104","10 to 20","BD",2015,.,"2","NO","NO","YES","CORN-SOY-WHEAT","ROT6","spring"
"ARL","104","10 to 20","BD",2015,.,"3","NO","NO","YES","CORN-SOY-WHEAT","ROT6","spring"
"ARL","104","0 to 10","SOC",2011,1.475065947,"1","NO","NO","YES","CORN-SOY-WHEAT","ROT6","spring"
"ARL","104","10 to 20","SOC",2011,1.321497679,"1","NO","NO","YES","CORN-SOY-WHEAT","ROT6","spring"
"ARL","104","20 to 40","SOC",2011,0.654919326,"1","NO","NO","YES","CORN-SOY-WHEAT","ROT6","spring"
"ARL","104","40 to 60","SOC",2011,0.400663674,"1","NO","NO","YES","CORN-SOY-WHEAT","ROT6","spring"
"ARL","104","0 to 10","SOC",2013,.,"1","NO","NO","YES","CORN-SOY-WHEAT","ROT6","spring"
"ARL","104","10 to 20","SOC",2013,.,"1","NO","NO","YES","CORN-SOY-WHEAT","ROT6","spring"
"ARL","104","20 to 40","SOC",2013,.,"1","NO","NO","YES","CORN-SOY-WHEAT","ROT6","spring"
"ARL","104","40 to 60","SOC",2013,.,"1","NO","NO","YES","CORN-SOY-WHEAT","ROT6","spring"
"ARL","104","0 to 10","SOC",2015,.,"1","NO","NO","YES","CORN-SOY-WHEAT","ROT6","spring"
"ARL","104","10 to 20","SOC",2015,.,"1","NO","NO","YES","CORN-SOY-WHEAT","ROT6","spring"
"ARL","104","20 to 40","SOC",2015,.,"1","NO","NO","YES","CORN-SOY-WHEAT","ROT6","spring"
"ARL","105","0 to 10","BD",2011,.,"1","NO","NO","YES","CORN-SOY-WHEAT","ROT8","spring"
"ARL","105","0 to 10","BD",2011,.,"2","NO","NO","YES","CORN-SOY-WHEAT","ROT8","spring"
"ARL","105","0 to 10","BD",2011,.,"3","NO","NO","YES","CORN-SOY-WHEAT","ROT8","spring"
"ARL","105","10 to 20","BD",2011,.,"1","NO","NO","YES","CORN-SOY-WHEAT","ROT8","spring"
"ARL","105","10 to 20","BD",2011,.,"2","NO","NO","YES","CORN-SOY-WHEAT","ROT8","spring"
"ARL","105","10 to 20","BD",2011,.,"3","NO","NO","YES","CORN-SOY-WHEAT","ROT8","spring"
"ARL","105","20 to 40","BD",2011,.,"1","NO","NO","YES","CORN-SOY-WHEAT","ROT8","spring"
"ARL","105","20 to 40","BD",2011,.,"2","NO","NO","YES","CORN-SOY-WHEAT","ROT8","spring"
"ARL","105","20 to 40","BD",2011,.,"3","NO","NO","YES","CORN-SOY-WHEAT","ROT8","spring"
"ARL","105","40 to 60","BD",2011,.,"1","NO","NO","YES","CORN-SOY-WHEAT","ROT8","spring"
"ARL","105","40 to 60","BD",2011,.,"2","NO","NO","YES","CORN-SOY-WHEAT","ROT8","spring"
"ARL","105","40 to 60","BD",2011,.,"3","NO","NO","YES","CORN-SOY-WHEAT","ROT8","spring"
"ARL","105","0 to 10","BD",2013,.,"1","NO","NO","YES","CORN-SOY-WHEAT","ROT8","spring"
"ARL","105","0 to 10","BD",2013,.,"2","NO","NO","YES","CORN-SOY-WHEAT","ROT8","spring"
"ARL","105","0 to 10","BD",2013,.,"3","NO","NO","YES","CORN-SOY-WHEAT","ROT8","spring"
"ARL","105","10 to 20","BD",2013,.,"1","NO","NO","YES","CORN-SOY-WHEAT","ROT8","spring"
"ARL","105","10 to 20","BD",2013,.,"2","NO","NO","YES","CORN-SOY-WHEAT","ROT8","spring"
"ARL","105","10 to 20","BD",2013,.,"3","NO","NO","YES","CORN-SOY-WHEAT","ROT8","spring"
"ARL","105","20 to 40","BD",2013,.,"1","NO","NO","YES","CORN-SOY-WHEAT","ROT8","spring"
"ARL","105","20 to 40","BD",2013,.,"2","NO","NO","YES","CORN-SOY-WHEAT","ROT8","spring"
"ARL","105","20 to 40","BD",2013,.,"3","NO","NO","YES","CORN-SOY-WHEAT","ROT8","spring"
"ARL","105","40 to 60","BD",2013,.,"1","NO","NO","YES","CORN-SOY-WHEAT","ROT8","spring"
"ARL","105","40 to 60","BD",2013,.,"2","NO","NO","YES","CORN-SOY-WHEAT","ROT8","spring"
"ARL","105","40 to 60","BD",2013,.,"3","NO","NO","YES","CORN-SOY-WHEAT","ROT8","spring"
"ARL","105","0 to 10","BD",2015,1.53,"1","NO","NO","YES","CORN-SOY-WHEAT","ROT8","spring"
"ARL","105","0 to 10","BD",2015,1.46,"2","NO","NO","YES","CORN-SOY-WHEAT","ROT8","spring"
"ARL","105","0 to 10","BD",2015,1.45,"3","NO","NO","YES","CORN-SOY-WHEAT","ROT8","spring"
"ARL","105","10 to 20","BD",2015,1.48,"1","NO","NO","YES","CORN-SOY-WHEAT","ROT8","spring"
"ARL","105","10 to 20","BD",2015,1.47,"2","NO","NO","YES","CORN-SOY-WHEAT","ROT8","spring"
"ARL","105","10 to 20","BD",2015,1.36,"3","NO","NO","YES","CORN-SOY-WHEAT","ROT8","spring"
"ARL","105","0 to 10","SOC",2011,.,"1","NO","NO","YES","CORN-SOY-WHEAT","ROT8","spring"
"ARL","105","10 to 20","SOC",2011,.,"1","NO","NO","YES","CORN-SOY-WHEAT","ROT8","spring"
"ARL","105","20 to 40","SOC",2011,.,"1","NO","NO","YES","CORN-SOY-WHEAT","ROT8","spring"
"ARL","105","40 to 60","SOC",2011,.,"1","NO","NO","YES","CORN-SOY-WHEAT","ROT8","spring"
"ARL","105","0 to 10","SOC",2013,.,"1","NO","NO","YES","CORN-SOY-WHEAT","ROT8","spring"
"ARL","105","10 to 20","SOC",2013,.,"1","NO","NO","YES","CORN-SOY-WHEAT","ROT8","spring"
"ARL","105","20 to 40","SOC",2013,.,"1","NO","NO","YES","CORN-SOY-WHEAT","ROT8","spring"
"ARL","105","40 to 60","SOC",2013,.,"1","NO","NO","YES","CORN-SOY-WHEAT","ROT8","spring"
"ARL","105","0 to 10","SOC",2015,1.424244523,"1","NO","NO","YES","CORN-SOY-WHEAT","ROT8","spring"
"ARL","105","10 to 20","SOC",2015,1.226996263,"1","NO","NO","YES","CORN-SOY-WHEAT","ROT8","spring"
"ARL","111","0 to 10","BD",2011,.,"1","NO","NO","NO","CORN-SOY","ROT5","spring"
"ARL","111","0 to 10","BD",2011,.,"2","NO","NO","NO","CORN-SOY","ROT5","spring"
"ARL","111","0 to 10","BD",2011,.,"3","NO","NO","NO","CORN-SOY","ROT5","spring"
"ARL","111","10 to 20","BD",2011,.,"1","NO","NO","NO","CORN-SOY","ROT5","spring"
"ARL","111","10 to 20","BD",2011,.,"2","NO","NO","NO","CORN-SOY","ROT5","spring"
"ARL","111","10 to 20","BD",2011,.,"3","NO","NO","NO","CORN-SOY","ROT5","spring"
"ARL","111","20 to 40","BD",2011,.,"1","NO","NO","NO","CORN-SOY","ROT5","spring"
"ARL","111","20 to 40","BD",2011,.,"2","NO","NO","NO","CORN-SOY","ROT5","spring"
"ARL","111","20 to 40","BD",2011,.,"3","NO","NO","NO","CORN-SOY","ROT5","spring"
"ARL","111","40 to 60","BD",2011,.,"1","NO","NO","NO","CORN-SOY","ROT5","spring"
"ARL","111","40 to 60","BD",2011,.,"2","NO","NO","NO","CORN-SOY","ROT5","spring"
"ARL","111","40 to 60","BD",2011,.,"3","NO","NO","NO","CORN-SOY","ROT5","spring"
"ARL","111","0 to 10","BD",2013,.,"1","NO","NO","NO","CORN-SOY","ROT5","spring"
"ARL","111","0 to 10","BD",2013,.,"2","NO","NO","NO","CORN-SOY","ROT5","spring"
"ARL","111","0 to 10","BD",2013,.,"3","NO","NO","NO","CORN-SOY","ROT5","spring"
"ARL","111","10 to 20","BD",2013,.,"1","NO","NO","NO","CORN-SOY","ROT5","spring"
"ARL","111","10 to 20","BD",2013,.,"2","NO","NO","NO","CORN-SOY","ROT5","spring"
"ARL","111","10 to 20","BD",2013,.,"3","NO","NO","NO","CORN-SOY","ROT5","spring"
"ARL","111","20 to 40","BD",2013,.,"1","NO","NO","NO","CORN-SOY","ROT5","spring"
"ARL","111","20 to 40","BD",2013,.,"2","NO","NO","NO","CORN-SOY","ROT5","spring"
"ARL","111","20 to 40","BD",2013,.,"3","NO","NO","NO","CORN-SOY","ROT5","spring"
"ARL","111","40 to 60","BD",2013,.,"1","NO","NO","NO","CORN-SOY","ROT5","spring"
"ARL","111","40 to 60","BD",2013,.,"2","NO","NO","NO","CORN-SOY","ROT5","spring"
"ARL","111","40 to 60","BD",2013,.,"3","NO","NO","NO","CORN-SOY","ROT5","spring"
"ARL","111","0 to 10","BD",2015,.,"1","NO","NO","NO","CORN-SOY","ROT5","spring"
"ARL","111","0 to 10","BD",2015,.,"2","NO","NO","NO","CORN-SOY","ROT5","spring"
"ARL","111","0 to 10","BD",2015,.,"3","NO","NO","NO","CORN-SOY","ROT5","spring"
"ARL","111","10 to 20","BD",2015,.,"1","NO","NO","NO","CORN-SOY","ROT5","spring"
"ARL","111","10 to 20","BD",2015,.,"2","NO","NO","NO","CORN-SOY","ROT5","spring"
"ARL","111","10 to 20","BD",2015,.,"3","NO","NO","NO","CORN-SOY","ROT5","spring"
"ARL","111","0 to 10","SOC",2011,.,"1","NO","NO","NO","CORN-SOY","ROT5","spring"
"ARL","111","10 to 20","SOC",2011,.,"1","NO","NO","NO","CORN-SOY","ROT5","spring"
"ARL","111","20 to 40","SOC",2011,.,"1","NO","NO","NO","CORN-SOY","ROT5","spring"
"ARL","111","40 to 60","SOC",2011,.,"1","NO","NO","NO","CORN-SOY","ROT5","spring"
"ARL","111","0 to 10","SOC",2013,.,"1","NO","NO","NO","CORN-SOY","ROT5","spring"
"ARL","111","10 to 20","SOC",2013,.,"1","NO","NO","NO","CORN-SOY","ROT5","spring"
"ARL","111","20 to 40","SOC",2013,.,"1","NO","NO","NO","CORN-SOY","ROT5","spring"
"ARL","111","40 to 60","SOC",2013,.,"1","NO","NO","NO","CORN-SOY","ROT5","spring"
"ARL","111","0 to 10","SOC",2015,.,"1","NO","NO","NO","CORN-SOY","ROT5","spring"
"ARL","111","10 to 20","SOC",2015,.,"1","NO","NO","NO","CORN-SOY","ROT5","spring"
"ARL","111","20 to 40","SOC",2015,.,"1","NO","NO","NO","CORN-SOY","ROT5","spring"
"ARL","113","0 to 10","BD",2011,1.29,"1","NO","NO","NO","continuous CORN","ROT1","spring"
"ARL","113","0 to 10","BD",2011,1.39,"2","NO","NO","NO","continuous CORN","ROT1","spring"
"ARL","113","0 to 10","BD",2011,1.34,"3","NO","NO","NO","continuous CORN","ROT1","spring"
"ARL","113","10 to 20","BD",2011,1.36,"1","NO","NO","NO","continuous CORN","ROT1","spring"
"ARL","113","10 to 20","BD",2011,1.37,"2","NO","NO","NO","continuous CORN","ROT1","spring"
"ARL","113","10 to 20","BD",2011,1.38,"3","NO","NO","NO","continuous CORN","ROT1","spring"
"ARL","113","20 to 40","BD",2011,1.36,"1","NO","NO","NO","continuous CORN","ROT1","spring"
"ARL","113","20 to 40","BD",2011,1.36,"2","NO","NO","NO","continuous CORN","ROT1","spring"
"ARL","113","20 to 40","BD",2011,1.37,"3","NO","NO","NO","continuous CORN","ROT1","spring"
"ARL","113","40 to 60","BD",2011,1.44,"1","NO","NO","NO","continuous CORN","ROT1","spring"
"ARL","113","40 to 60","BD",2011,1.31,"2","NO","NO","NO","continuous CORN","ROT1","spring"
"ARL","113","40 to 60","BD",2011,1.28,"3","NO","NO","NO","continuous CORN","ROT1","spring"
"ARL","113","0 to 10","BD",2013,1.43,"1","NO","NO","NO","continuous CORN","ROT1","spring"
"ARL","113","0 to 10","BD",2013,1.44,"2","NO","NO","NO","continuous CORN","ROT1","spring"
"ARL","113","0 to 10","BD",2013,1.35,"3","NO","NO","NO","continuous CORN","ROT1","spring"
"ARL","113","10 to 20","BD",2013,1.41,"1","NO","NO","NO","continuous CORN","ROT1","spring"
"ARL","113","10 to 20","BD",2013,1.48,"2","NO","NO","NO","continuous CORN","ROT1","spring"
"ARL","113","10 to 20","BD",2013,1.44,"3","NO","NO","NO","continuous CORN","ROT1","spring"
"ARL","113","20 to 40","BD",2013,.,"1","NO","NO","NO","continuous CORN","ROT1","spring"
"ARL","113","20 to 40","BD",2013,.,"2","NO","NO","NO","continuous CORN","ROT1","spring"
"ARL","113","20 to 40","BD",2013,.,"3","NO","NO","NO","continuous CORN","ROT1","spring"
"ARL","113","40 to 60","BD",2013,.,"1","NO","NO","NO","continuous CORN","ROT1","spring"
"ARL","113","40 to 60","BD",2013,.,"2","NO","NO","NO","continuous CORN","ROT1","spring"
"ARL","113","40 to 60","BD",2013,.,"3","NO","NO","NO","continuous CORN","ROT1","spring"
"ARL","113","0 to 10","BD",2015,1.18,"1","NO","NO","NO","continuous CORN","ROT1","spring"
"ARL","113","0 to 10","BD",2015,1.39,"2","NO","NO","NO","continuous CORN","ROT1","spring"
"ARL","113","0 to 10","BD",2015,1.3,"3","NO","NO","NO","continuous CORN","ROT1","spring"
"ARL","113","10 to 20","BD",2015,1.38,"1","NO","NO","NO","continuous CORN","ROT1","spring"
"ARL","113","10 to 20","BD",2015,1.41,"2","NO","NO","NO","continuous CORN","ROT1","spring"
"ARL","113","10 to 20","BD",2015,1.5,"3","NO","NO","NO","continuous CORN","ROT1","spring"
"ARL","113","0 to 10","SOC",2011,1.720672131,"1","NO","NO","NO","continuous CORN","ROT1","spring"
"ARL","113","10 to 20","SOC",2011,1.607116461,"1","NO","NO","NO","continuous CORN","ROT1","spring"
"ARL","113","20 to 40","SOC",2011,0.915368199,"1","NO","NO","NO","continuous CORN","ROT1","spring"
"ARL","113","40 to 60","SOC",2011,0.630678773,"1","NO","NO","NO","continuous CORN","ROT1","spring"
"ARL","113","0 to 10","SOC",2013,1.85327816,"1","NO","NO","NO","continuous CORN","ROT1","spring"
"ARL","113","10 to 20","SOC",2013,1.557403803,"1","NO","NO","NO","continuous CORN","ROT1","spring"
"ARL","113","20 to 40","SOC",2013,0.907672048,"1","NO","NO","NO","continuous CORN","ROT1","spring"
"ARL","113","40 to 60","SOC",2013,0.554204166,"1","NO","NO","NO","continuous CORN","ROT1","spring"
"ARL","113","0 to 10","SOC",2015,1.852662683,"1","NO","NO","NO","continuous CORN","ROT1","spring"
"ARL","113","10 to 20","SOC",2015,1.653388818,"1","NO","NO","NO","continuous CORN","ROT1","spring"
"ARL","114","0 to 10","BD",2011,1.43,"1","NO","NO","NO","CORN-SOY","ROT4","spring"
"ARL","114","0 to 10","BD",2011,1.32,"2","NO","NO","NO","CORN-SOY","ROT4","spring"
"ARL","114","0 to 10","BD",2011,1.36,"3","NO","NO","NO","CORN-SOY","ROT4","spring"
"ARL","114","10 to 20","BD",2011,1.45,"1","NO","NO","NO","CORN-SOY","ROT4","spring"
"ARL","114","10 to 20","BD",2011,1.37,"2","NO","NO","NO","CORN-SOY","ROT4","spring"
"ARL","114","10 to 20","BD",2011,1.46,"3","NO","NO","NO","CORN-SOY","ROT4","spring"
"ARL","114","20 to 40","BD",2011,1.43,"1","NO","NO","NO","CORN-SOY","ROT4","spring"
"ARL","114","20 to 40","BD",2011,1.43,"2","NO","NO","NO","CORN-SOY","ROT4","spring"
"ARL","114","20 to 40","BD",2011,1.43,"3","NO","NO","NO","CORN-SOY","ROT4","spring"
"ARL","114","40 to 60","BD",2011,1.39,"1","NO","NO","NO","CORN-SOY","ROT4","spring"
"ARL","114","40 to 60","BD",2011,1.36,"2","NO","NO","NO","CORN-SOY","ROT4","spring"
"ARL","114","40 to 60","BD",2011,1.39,"3","NO","NO","NO","CORN-SOY","ROT4","spring"
"ARL","114","0 to 10","BD",2013,1.33,"1","NO","NO","NO","CORN-SOY","ROT4","spring"
"ARL","114","0 to 10","BD",2013,1.41,"2","NO","NO","NO","CORN-SOY","ROT4","spring"
"ARL","114","0 to 10","BD",2013,1.4,"3","NO","NO","NO","CORN-SOY","ROT4","spring"
"ARL","114","10 to 20","BD",2013,1.45,"1","NO","NO","NO","CORN-SOY","ROT4","spring"
