Date,BE WAT2 Tile Nitrate-N concentration,BE WAT20 Tile Nitrate-N loss,BE Sampling Method,BW WAT2 Tile Nitrate-N concentration,BW WAT20 Tile Nitrate-N loss,BW Sampling Method
5/2/2011 1:00,5.37,,I,8.32,,I
5/2/2011 2:00,5.28,,I,8.08,,I
5/2/2011 3:00,5.32,,I,NA,,NA
5/2/2011 4:00,5.28,,I,NA,,NA
5/2/2011 5:00,5.35,,I,NA,,NA
5/2/2011 6:00,5.31,,I,NA,,NA
5/2/2011 7:00,5.33,,I,NA,,NA
5/2/2011 8:00,5.31,,I,NA,,NA
5/2/2011 9:00,5.31,,I,NA,,NA
5/2/2011 10:00,5.17,,I,NA,,NA
5/2/2011 11:00,4.99,,I,NA,,NA
5/2/2011 12:00,4.99,,I,NA,,NA
5/2/2011 13:00,5,,I,NA,,NA
5/2/2011 14:00,5.02,,I,NA,,NA
5/2/2011 15:00,5.02,,I,NA,,NA
5/2/2011 16:00,5.03,,I,NA,,NA
5/2/2011 17:00,5.03,,I,NA,,NA
5/2/2011 18:00,5.03,,I,NA,,NA
5/2/2011 19:00,5.03,,I,NA,,NA
5/2/2011 20:00,5.07,,I,NA,,NA
5/2/2011 21:00,4.97,,I,NA,,NA
5/2/2011 22:00,5.03,,I,NA,,NA
5/2/2011 23:00,5.04,,I,NA,,NA
5/3/2011 0:00,5.02,,I,NA,,NA
5/17/2011 1:00,5.25,,I,7.74,,I
5/17/2011 2:00,5.21,,I,7.62,,I
5/17/2011 3:00,5.13,,I,7.09,,I
5/17/2011 4:00,5.14,,I,6.51,,I
5/17/2011 5:00,5.17,,I,6.28,,I
5/17/2011 6:00,5.07,,I,5.66,,I
5/17/2011 7:00,4.94,,I,7.26,,I
5/17/2011 8:00,4.98,,I,7.17,,I
5/17/2011 9:00,5.04,,I,7.61,,I
5/17/2011 10:00,4.86,,I,NA,,NA
5/17/2011 11:00,5.06,,I,NA,,NA
5/24/2011 1:00,5.38,,I,7.44,,I
5/24/2011 2:00,5.52,,I,6.43,,I
5/24/2011 3:00,5.67,,I,7.99,,I
5/24/2011 4:00,5.18,,I,9.8,,I
5/24/2011 5:00,5.81,,I,10,,I
5/24/2011 6:00,5.95,,I,9.11,,I
5/24/2011 7:00,6.13,,I,18,,I
5/24/2011 8:00,6.17,,I,NA,,NA
5/24/2011 9:00,5.81,,I,NA,,NA
5/24/2011 10:00,5.98,,I,NA,,NA
5/24/2011 11:00,5.87,,I,NA,,NA
6/10/2011 1:00,5.77,,I,8.61,,I
6/10/2011 2:00,5.89,,I,10.1,,I
6/10/2011 3:00,6.13,,I,9.17,,I
6/10/2011 4:00,6.05,,I,8.97,,I
6/10/2011 5:00,5.97,,I,8.26,,I
6/10/2011 6:00,5.88,,I,8.14,,I
6/10/2011 7:00,5.66,,I,7.39,,I
6/10/2011 8:00,5.45,,I,7.27,,I
6/10/2011 9:00,5.61,,I,5.88,,I
6/10/2011 10:00,5.34,,I,5.85,,I
6/10/2011 11:00,5.65,,I,6.42,,I
6/10/2011 12:00,5.96,,I,6.37,,I
6/10/2011 13:00,5.81,,I,6.7,,I
6/10/2011 14:00,5.52,,I,7.13,,I
6/10/2011 15:00,NA,,NA,7.33,,I
6/10/2011 16:00,NA,,NA,7.78,,I
6/10/2011 17:00,NA,,NA,7.4,,I
6/10/2011 18:00,NA,,NA,7.48,,I
6/10/2011 19:00,NA,,NA,7.66,,I
6/10/2011 20:00,NA,,NA,8.15,,I
6/10/2011 21:00,NA,,NA,7.69,,I
6/10/2011 22:00,NA,,NA,7.71,,I
6/10/2011 23:00,NA,,NA,7.84,,I
6/11/2011 0:00,NA,,NA,7.96,,I
6/16/2011 1:00,6.03,,I,5.57,,I
6/16/2011 2:00,6.47,,I,5.27,,I
6/16/2011 3:00,7.85,,I,5.5,,I
6/16/2011 4:00,7.93,,I,5.64,,I
6/16/2011 5:00,8.22,,I,5.8,,I
6/16/2011 6:00,7.81,,I,5.44,,I
6/16/2011 7:00,7.72,,I,5.56,,I
6/16/2011 8:00,7.67,,I,5.63,,I
6/16/2011 9:00,7.61,,I,5.86,,I
6/16/2011 10:00,7.83,,I,5.82,,I
6/16/2011 11:00,7.35,,I,5.64,,I
6/16/2011 12:00,7.26,,I,5.67,,I
6/16/2011 13:00,7.18,,I,5.88,,I
6/16/2011 14:00,7.44,,I,5.79,,I
6/16/2011 15:00,NA,,NA,5.62,,I
6/16/2011 16:00,NA,,NA,5.66,,I
6/16/2011 17:00,NA,,NA,6.01,,I
6/16/2011 18:00,NA,,NA,6.15,,I
6/16/2011 19:00,NA,,NA,6.39,,I
6/16/2011 20:00,NA,,NA,6.29,,I
6/16/2011 21:00,NA,,NA,6.28,,I
6/16/2011 22:00,NA,,NA,6.64,,I
6/16/2011 23:00,NA,,NA,6.81,,I
6/17/2011 0:00,NA,,NA,6.81,,I
6/30/2011 1:00,7.77,,I,11.3,,I
6/30/2011 2:00,7.27,,I,11.5,,I
6/30/2011 3:00,7.22,,I,11.3,,I
6/30/2011 4:00,7.03,,I,11.6,,I
6/30/2011 5:00,7.32,,I,11.6,,I
6/30/2011 6:00,7.57,,I,11.4,,I
6/30/2011 7:00,7.27,,I,11.6,,I
6/30/2011 8:00,7.11,,I,11.5,,I
6/30/2011 9:00,6.84,,I,11.2,,I
6/30/2011 10:00,6.88,,I,11.3,,I
6/30/2011 11:00,10.1,,I,11.1,,I
6/30/2011 12:00,9.2,,I,11.8,,I
6/30/2011 13:00,8.87,,I,11.2,,I
6/30/2011 14:00,8.78,,I,11.7,,I
6/30/2011 15:00,9.2,,I,11.5,,I
6/30/2011 16:00,8.8,,I,11.4,,I
6/30/2011 17:00,8.54,,I,11.3,,I
6/30/2011 18:00,8.32,,I,11.3,,I
6/30/2011 19:00,8.3,,I,11.4,,I
6/30/2011 20:00,8.65,,I,11.3,,I
6/30/2011 21:00,8.51,,I,11.6,,I
6/30/2011 22:00,8.31,,I,11.2,,I
6/30/2011 23:00,8.43,,I,10.9,,I
7/1/2011 0:00,8.22,,I,11.1,,I
