"Date","BE WAT2 Tile Nitrate-N concentration","BE WAT20 Tile Nitrate-N loss","BE Sampling Method","BW WAT2 Tile Nitrate-N concentration","BW WAT20 Tile Nitrate-N loss","BW Sampling Method"
2014-04-24 18:00:00,19.2,"","I",NA,"",NA
2014-04-30 19:00:00,25.5,"","I",NA,"",NA
2014-04-30 20:00:00,26.5,"","I",NA,"",NA
2014-04-30 23:00:00,27.3,"","I",NA,"",NA
2014-05-01 01:00:00,27.2,"","I",NA,"",NA
2014-05-01 03:00:00,26.6,"","I",NA,"",NA
2014-05-01 08:00:00,25.5,"","I",NA,"",NA
2014-06-16 09:00:00,NA,"",NA,34.6,"","I"
2014-06-16 11:00:00,NA,"",NA,34.4,"","I"
2014-06-16 13:00:00,NA,"",NA,34.2,"","I"
2014-06-16 15:00:00,22.4,"","I",34.7,"","I"
2014-06-16 17:00:00,NA,"",NA,34.6,"","I"
2014-06-16 18:00:00,22.3,"","I",NA,"",NA
2014-06-16 19:00:00,NA,"",NA,35,"","I"
2014-06-16 20:00:00,22,"","I",NA,"",NA
2014-06-16 21:00:00,NA,"",NA,34.9,"","I"
2014-06-16 22:00:00,22.1,"","I",NA,"",NA
2014-06-16 23:00:00,NA,"",NA,35.1,"","I"
2014-06-17 00:00:00,21.8,"","I",NA,"",NA
2014-06-17 01:00:00,NA,"",NA,34.9,"","I"
2014-06-17 02:00:00,21.3,"","I",NA,"",NA
2014-06-17 03:00:00,NA,"",NA,34.2,"","I"
2014-06-17 05:00:00,21.2,"","I",34.4,"","I"
2014-06-17 07:00:00,21.2,"","I",33.7,"","I"
2014-06-17 09:00:00,21.1,"","I",33.8,"","I"
2014-06-17 10:00:00,NA,"",NA,34.7,"","I"
2014-06-17 12:00:00,21.3,"","I",35.5,"","I"
2014-06-17 13:00:00,NA,"",NA,35.3,"","I"
2014-06-17 15:00:00,20.6,"","I",34.8,"","I"
2014-06-17 16:00:00,NA,"",NA,34.9,"","I"
2014-06-17 18:00:00,NA,"",NA,34.6,"","I"
2014-06-17 19:00:00,19.5,"","I",NA,"",NA
2014-06-17 20:00:00,NA,"",NA,34.5,"","I"
2014-06-17 21:00:00,NA,"",NA,34,"","I"
2014-06-17 23:00:00,NA,"",NA,34.5,"","I"
2014-06-18 01:00:00,NA,"",NA,33.5,"","I"
2014-06-18 02:00:00,NA,"",NA,33.5,"","I"
2014-06-18 03:00:00,19.1,"","I",NA,"",NA
2014-06-18 11:00:00,NA,"",NA,32.5,"","I"
2014-06-18 13:00:00,NA,"",NA,32.2,"","I"
2014-06-18 14:00:00,NA,"",NA,32,"","I"
2014-06-18 16:00:00,NA,"",NA,31.9,"","I"
2014-06-18 18:00:00,NA,"",NA,31.4,"","I"
